year,qdistance,qtime,avg_delay
2000,11,15,71.7126582278481013
2000,11,16,93.8016304347826087
2000,11,17,128.8437500000000000
2000,11,18,139.6000000000000000
2000,11,19,180.0000000000000000
2000,11,20,417.0000000000000000
2000,12,1,99.3333333333333333
2000,12,4,90.0000000000000000
2000,12,5,8.0000000000000000
2000,12,6,44.0000000000000000
2000,12,7,12.0000000000000000
2000,12,8,9.1339285714285714
2000,12,9,8.7162426614481409
2000,12,10,7.8995272142907050
2000,12,11,8.6354236907170151
2000,12,12,11.8944572957185873
2000,12,13,18.4063493882696771
2000,12,14,28.8314418604651163
2000,12,15,48.3300492610837438
2000,12,16,73.9398315282791817
